"Word","Count","Gender"
"uncertainti",1,"Male"
"unclear",1,"Male"
"unconsci",1,"Male"
"undermin",1,"Male"
"underqualifi",1,"Male"
"undesir",1,"Male"
"unfortun",1,"Male"
"unintent",1,"Male"
"unjustifi",1,"Male"
"unproduct",1,"Male"
"unprompt",1,"Male"
"unreli",1,"Male"
"unstat",1,"Male"
"unsupport",1,"Male"
"vagu",1,"Male"
"version",1,"Male"
"versus",1,"Male"
"veteran",1,"Male"
"vibe",1,"Male"
"violat",1,"Male"
"visibl",1,"Male"
"vouch",1,"Male"
"wait",1,"Male"
"warrant",1,"Male"
"weaken",1,"Male"
"web",1,"Male"
"week",1,"Male"
"wellmanag",1,"Male"
"wellvers",1,"Male"
"wether",1,"Male"
"wherea",1,"Male"
"whine",1,"Male"
"whole",1,"Male"
"whose",1,"Male"
"wide",1,"Male"
"widespread",1,"Male"
"willing",1,"Male"
"window",1,"Male"
"wit",1,"Male"
"within",1,"Male"
"woefulli",1,"Male"
"workflow",1,"Male"
"workrel",1,"Male"
"world",1,"Male"
"woud",1,"Male"
"write",1,"Male"
"wrong",1,"Male"
"xxx",1,"Male"
"yield",1,"Male"
"zero",1,"Male"
"job",71,"female"
"interview",41,"female"
"want",41,"female"
"employ",39,"female"
"get",38,"female"
"stigma",38,"female"
"affect",33,"female"
"bring",33,"female"
"hire",33,"female"
"feel",29,"female"
"like",28,"female"
"work",28,"female"
"negat",27,"female"
"think",27,"female"
"physic",24,"female"
"depend",20,"female"
"need",20,"female"
"know",19,"female"
"reason",18,"female"
"make",17,"female"
"might",17,"female"
"chanc",16,"female"
"peopl",16,"female"
"abil",15,"female"
"can",15,"female"
"ill",15,"female"
"person",15,"female"
"discrimin",14,"female"
"perform",13,"female"
"potenti",13,"female"
"understand",12,"female"
"view",12,"female"
"also",11,"female"
"even",11,"female"
"fear",11,"female"
"less",11,"female"
"never",11,"female"
"worri",11,"female"
"depress",10,"female"
"relev",10,"female"
"way",10,"female"
"well",10,"female"
"bias",9,"female"
"busi",9,"female"
"discuss",9,"female"
"effect",9,"female"
"may",9,"female"
"someth",9,"female"
"thing",9,"female"
"though",9,"female"
"will",9,"female"
"definit",8,"female"
"felt",8,"female"
"impact",8,"female"
"seem",8,"female"
"talk",8,"female"
"trust",8,"female"
"whether",8,"female"
"accommod",7,"female"
"afraid",7,"female"
"decis",7,"female"
"disclos",7,"female"
"look",7,"female"
"one",7,"female"
"someon",7,"female"
"still",7,"female"
"time",7,"female"
"unless",7,"female"
"weak",7,"female"
"alreadi",6,"female"
"anxieti",6,"female"
"bad",6,"female"
"better",6,"female"
"comfort",6,"female"
"day",6,"female"
"give",6,"female"
"good",6,"female"
"inform",6,"female"
"lot",6,"female"
"open",6,"female"
"place",6,"female"
"probabl",6,"female"
"strong",6,"female"
"take",6,"female"
"answer",5,"female"
"anyth",5,"female"
"around",5,"female"
"consid",5,"female"
"current",5,"female"
"deal",5,"female"
"enough",5,"female"
"just",5,"female"
"mention",5,"female"
"offer",5,"female"
"problem",5,"female"
"process",5,"female"
"rather",5,"female"
"see",5,"female"
"seen",5,"female"
"serious",5,"female"
"sure",5,"female"
"absolut",4,"female"
"anyon",4,"female"
"bipolar",4,"female"
"disabl",4,"female"
"due",4,"female"
"function",4,"female"
"high",4,"female"
"influenc",4,"female"
"irrelev",4,"female"
"knew",4,"female"
"liabil",4,"female"
"medic",4,"female"
"much",4,"female"
"necessari",4,"female"
"new",4,"female"
"otherwis",4,"female"
"posit",4,"female"
"requir",4,"female"
"risk",4,"female"
"say",4,"female"
"share",4,"female"
"tell",4,"female"
"tri",4,"female"
"use",4,"female"
"abl",3,"female"
"accept",3,"female"
"activ",3,"female"
"anoth",3,"female"
"ask",3,"female"
"burden",3,"female"
"candid",3,"female"
"capabl",3,"female"
"case",3,"female"
"concern",3,"female"
"count",3,"female"
"crazi",3,"female"
"cultur",3,"female"
"diagnos",3,"female"
"disord",3,"female"
"employe",3,"female"
"expect",3,"female"
"found",3,"female"
"hurt",3,"female"
"idea",3,"female"
"info",3,"female"
"learn",3,"female"
"lucki",3,"female"
"manag",3,"female"
"mean",3,"female"
"now",3,"female"
"often",3,"female"
"opportun",3,"female"
"perceiv",3,"female"
"percept",3,"female"
"point",3,"female"
"prefer",3,"female"
"privat",3,"female"
"product",3,"female"
"protect",3,"female"
"reflect",3,"female"
"role",3,"female"
"sever",3,"female"
"skill",3,"female"
"state",3,"female"
"unstabl",3,"female"
"without",3,"female"
"year",3,"female"
"allow",2,"female"
"applic",2,"female"
"avoid",2,"female"
"becom",2,"female"
"believ",2,"female"
"benefit",2,"female"
"best",2,"female"
"burnout",2,"female"
"caus",2,"female"
